encoder__Employment_Type_Self employed,encoder__Region_ID_R2,encoder__Region_ID_R3,encoder__Region_ID_R4,encoder__Region_ID_nan,remainder__Loan_Id,remainder__Disbursed_Amount,remainder__Asset_Cost,remainder__ltv,remainder__Branch_Id,remainder__City_Code,remainder__State_Code,remainder__Postal_Code,remainder__Date_of_Birth,remainder__DisbursalDate,remainder__MobileNo_Avl_Flag,remainder__Aadhar_flag,remainder__PAN_flag,remainder__VoterID_flag,remainder__Driving_flag,remainder__Passport_flag,remainder__PERFORM_CNS.SCORE,remainder__DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,remainder__CREDIT.HISTORY.LENGTH,remainder__NO.OF_INQUIRIES,remainder__State_Name,remainder__Loan_Default,Age
0.0,1.0,0.0,0.0,0.0,11,51996,63051,85.0,147,CT23,ST12,575001,01-01-1984,03-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Karnataka,0,34
0.0,1.0,0.0,0.0,0.0,12,64269,85632,77.07,146,CT03,ST24,600020,15-02-1990,24-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,28
1.0,0.0,0.0,0.0,0.0,13,68377,90512,79.55,20,CT06,ST22,302029,05-12-1975,28-08-2018,1,1,0,0,0,0,654,1,2yrs 0mon,1,Rajasthan,0,42
0.0,0.0,0.0,1.0,0.0,14,61256,73000,84.99,2,CT11,ST07,382460,11-09-1995,21-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,23
1.0,0.0,0.0,1.0,0.0,15,46949,64600,74.92,67,CT11,ST07,382460,29-10-1975,20-08-2018,1,1,0,0,0,0,524,0,0yrs 0mon,0,Gujarat,0,42
1.0,0.0,0.0,0.0,1.0,16,56333,80271,73.5,7,CT22,ST14,453551,28-02-1984,26-10-2018,1,1,0,0,0,0,653,0,0yrs 11mon,0,Madhya Pradesh,0,34
0.0,0.0,0.0,0.0,0.0,17,73717,94315,79.41,165,CT18,ST21,141003,02-11-1975,30-09-2018,1,1,0,0,0,0,16,0,1yrs 1mon,0,Punjab,0,42
1.0,0.0,0.0,1.0,0.0,18,54373,73891,77.14,152,CT01,ST15,400001,21-10-1990,30-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,27
0.0,1.0,0.0,0.0,0.0,19,72817,82820,89.35,2,CT25,ST01,524225,11-10-1994,31-10-2018,1,1,0,0,0,0,753,1,1yrs 1mon,0,Andhra Pradesh,0,24
1.0,0.0,0.0,1.0,0.0,20,78151,107074,74.25,135,CT26,ST15,431001,05-06-1987,25-10-2018,1,1,1,1,0,0,0,0,0yrs 0mon,0,Maharashtra,1,31
0.0,0.0,0.0,0.0,1.0,21,58409,70669,84.9,5,CT20,ST28,208002,29-05-1996,16-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,2,Uttar Pradesh,0,22
1.0,0.0,1.0,0.0,0.0,22,46349,68751,69.82,159,CT15,ST20,751022,13-12-1993,08-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Odisha,0,24
0.0,1.0,0.0,0.0,0.0,23,67269,91362,75.52,16,CT24,ST13,680503,28-04-1996,18-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Kerala,0,22
0.0,1.0,0.0,0.0,0.0,24,56595,71514,84.52,85,CT07,ST13,682001,01-01-1974,19-09-2018,1,1,0,0,0,0,825,0,1yrs 4mon,0,Kerala,0,44
1.0,0.0,1.0,0.0,0.0,25,66002,81642,84.52,10,CT28,ST11,834008,01-01-1986,30-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,0,32
1.0,1.0,0.0,0.0,0.0,26,49349,70283,71.14,68,CT04,ST24,642205,23-08-1990,31-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,28
0.0,0.0,0.0,0.0,0.0,27,45795,61513,76.41,73,CT06,ST22,302029,15-09-1978,20-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Rajasthan,1,40
0.0,1.0,0.0,0.0,0.0,28,53303,63376,86.78,3,CT24,ST13,680503,16-09-1989,07-09-2018,1,1,1,0,0,0,710,0,0yrs 6mon,0,Kerala,1,28
0.0,0.0,0.0,1.0,0.0,29,53478,70418,77.96,2,CT17,ST07,391510,04-03-1963,16-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,55
0.0,0.0,0.0,1.0,0.0,30,51303,111955,47.34,103,CT11,ST07,382460,20-08-1963,17-10-2018,1,1,0,0,0,0,835,0,1yrs 11mon,0,Gujarat,0,55
0.0,1.0,0.0,0.0,0.0,31,89143,113587,79.85,2,CT29,ST24,632001,18-10-1985,12-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,33
0.0,0.0,1.0,0.0,0.0,32,96939,145449,68.37,65,CT28,ST11,834008,01-03-1963,29-10-2018,1,0,0,1,0,0,694,0,4yrs 5mon,0,Jharkhand,1,55
1.0,0.0,1.0,0.0,0.0,33,48349,83069,58.99,10,CT27,ST11,832102,20-05-1985,25-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,0,33
1.0,0.0,0.0,0.0,1.0,34,20574,39605,55.55,130,CT22,ST14,453551,09-10-1966,09-08-2018,1,1,0,0,0,0,760,0,1yrs 8mon,0,Madhya Pradesh,0,51
1.0,0.0,1.0,0.0,0.0,35,33484,51530,65.98,20,CT13,ST04,801110,30-06-1984,27-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Bihar,0,34
1.0,0.0,0.0,0.0,1.0,36,45715,53798,89.22,61,CT22,ST14,453551,01-01-1978,14-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Madhya Pradesh,0,40
1.0,0.0,0.0,1.0,0.0,37,44145,74500,61.74,152,CT01,ST15,400001,01-01-1983,06-09-2018,1,1,0,0,0,0,17,0,0yrs 2mon,0,Maharashtra,0,35
0.0,1.0,0.0,0.0,0.0,38,47049,65000,73.38,2,CT23,ST12,575001,09-01-1995,20-08-2018,1,1,1,0,0,0,0,0,0yrs 0mon,0,Karnataka,0,23
0.0,1.0,0.0,0.0,0.0,39,34639,61380,57.84,62,CT10,ST12,560034,01-01-1989,14-09-2018,1,1,0,0,0,0,825,0,0yrs 11mon,0,Karnataka,0,29
0.0,0.0,1.0,0.0,0.0,40,49638,62588,83.88,70,CT13,ST04,801110,30-01-1986,14-09-2018,1,1,0,0,0,0,708,0,0yrs 8mon,0,Bihar,0,32
1.0,0.0,1.0,0.0,0.0,41,60213,70636,86.36,100,CT13,ST04,801110,01-01-1980,24-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,Bihar,1,38
0.0,1.0,0.0,0.0,0.0,42,55659,71800,79.39,67,CT24,ST13,680503,01-01-1975,15-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Kerala,0,43
1.0,0.0,0.0,1.0,0.0,43,44894,61248,79.19,74,CT11,ST07,382460,01-01-1959,07-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,59
0.0,0.0,1.0,0.0,0.0,44,50203,66238,77.75,67,CT28,ST11,834008,05-12-1996,20-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,1,21
1.0,0.0,0.0,1.0,0.0,45,68169,102343,68.4,103,CT14,ST07,394651,15-08-1989,31-08-2018,1,1,1,0,0,0,0,0,0yrs 0mon,1,Gujarat,1,29
1.0,1.0,0.0,0.0,0.0,46,50578,72985,71.25,251,CT24,ST13,680503,30-11-1969,24-09-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Kerala,1,48
1.0,0.0,0.0,0.0,0.0,47,61947,72735,87.99,152,CT18,ST21,141003,22-04-1976,21-08-2018,1,1,0,0,0,0,300,0,13yrs 6mon,0,Punjab,0,42
1.0,0.0,0.0,1.0,0.0,48,52478,66275,81.48,67,CT26,ST15,431001,20-08-1992,14-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,26
1.0,1.0,0.0,0.0,0.0,49,69600,83780,84.75,136,CT25,ST01,524225,01-01-1983,23-08-2018,1,1,0,0,0,0,845,0,3yrs 0mon,0,Andhra Pradesh,0,35
0.0,0.0,0.0,0.0,1.0,50,65382,75540,89.36,77,CT22,ST14,453551,02-06-1967,22-10-2018,1,1,0,0,0,0,637,0,5yrs 9mon,2,Madhya Pradesh,1,51
1.0,0.0,0.0,1.0,0.0,51,51803,68183,79.2,138,CT02,ST15,411002,31-05-1995,17-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,23
1.0,0.0,0.0,1.0,0.0,52,56259,80145,72.37,1,CT14,ST07,394651,06-08-1990,29-09-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Gujarat,0,28
1.0,0.0,0.0,1.0,0.0,53,38139,85563,46.75,9,CT01,ST15,400001,02-05-1967,24-10-2018,1,1,0,0,0,0,796,0,2yrs 0mon,0,Maharashtra,1,51
0.0,1.0,0.0,0.0,0.0,54,64382,87500,74.86,2,CT25,ST01,524225,05-11-1974,22-08-2018,1,1,0,0,0,0,488,0,5yrs 4mon,0,Andhra Pradesh,0,43
1.0,1.0,0.0,0.0,0.0,55,51295,60663,87.86,61,CT29,ST24,632001,01-03-1976,25-10-2018,1,1,0,0,0,0,300,1,0yrs 0mon,0,Tamil Nadu,0,42
1.0,1.0,0.0,0.0,0.0,56,26029,62882,42.94,67,CT07,ST13,682001,07-05-1991,17-08-2018,1,1,0,0,0,0,738,0,0yrs 6mon,1,Kerala,0,27
1.0,1.0,0.0,0.0,0.0,57,59259,75500,79.47,16,CT07,ST13,682001,10-05-1972,31-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Kerala,1,46
1.0,0.0,1.0,0.0,0.0,58,65382,75661,89.21,13,CT28,ST11,834008,25-05-1979,13-10-2018,1,1,0,0,0,0,760,0,1yrs 3mon,0,Jharkhand,1,39
0.0,0.0,0.0,0.0,1.0,59,44849,60200,77.24,68,CT16,ST23,737101,12-06-1983,16-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Sikkim,0,35
0.0,0.0,0.0,0.0,1.0,60,47645,66296,74.36,254,CT21,ST27,248141,01-01-1963,17-08-2018,1,0,0,1,0,0,300,0,12yrs 6mon,0,Uttarakhand,0,55
1.0,0.0,0.0,0.0,1.0,61,58759,73411,81.73,159,CT21,ST27,248141,25-08-1986,03-10-2018,1,1,0,0,0,0,694,0,1yrs 4mon,1,Uttarakhand,0,32
1.0,0.0,1.0,0.0,0.0,62,57876,78353,80.41,7,CT15,ST20,751022,29-03-1970,20-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Odisha,1,48
0.0,1.0,0.0,0.0,0.0,63,52078,60129,89.81,63,CT03,ST24,600020,01-01-1989,29-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,29
0.0,0.0,0.0,0.0,1.0,64,59447,68570,89.98,70,CT22,ST14,453551,22-10-1966,09-08-2018,1,1,0,0,0,0,763,0,4yrs 6mon,0,Madhya Pradesh,0,51
0.0,1.0,0.0,0.0,0.0,65,48049,65612,75.44,67,CT07,ST13,682001,01-06-1964,27-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,Kerala,0,54
1.0,0.0,0.0,0.0,0.0,66,46883,79192,63.77,152,CT06,ST22,302029,12-04-1995,29-10-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Rajasthan,0,23
1.0,1.0,0.0,0.0,0.0,67,49348,62270,82.33,36,CT10,ST12,560034,02-09-1965,14-08-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Karnataka,0,52
0.0,0.0,0.0,0.0,0.0,68,57313,66474,88.46,77,CT06,ST22,302029,01-08-1986,29-08-2018,1,1,0,0,0,0,630,1,4yrs 2mon,1,Rajasthan,0,32
0.0,0.0,0.0,0.0,1.0,69,66669,99300,68.98,19,CT16,ST23,737101,05-06-1993,04-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Sikkim,0,25
1.0,0.0,1.0,0.0,0.0,70,38894,72500,55.86,152,CT28,ST11,834008,22-02-1985,30-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,Jharkhand,0,33
1.0,1.0,0.0,0.0,0.0,71,76751,108369,72.9,255,CT03,ST24,600020,11-02-1994,08-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,24
0.0,1.0,0.0,0.0,0.0,72,42234,69500,62.36,2,CT07,ST13,682001,26-08-1995,13-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Kerala,0,22
1.0,0.0,0.0,1.0,0.0,73,42994,108802,41.36,7,CT01,ST15,400001,01-01-1996,14-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,22
0.0,1.0,0.0,0.0,0.0,74,44345,58370,79.66,147,CT23,ST12,575001,08-12-1999,23-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Karnataka,0,18
1.0,1.0,0.0,0.0,0.0,75,61213,81370,77.42,1,CT03,ST24,600020,01-01-1973,21-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,45
1.0,0.0,0.0,0.0,0.0,76,72623,104351,70.91,103,CT09,ST34,110039,01-01-1989,19-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Delhi,1,29
1.0,0.0,0.0,1.0,0.0,77,36439,51400,71.98,136,CT26,ST15,431001,20-11-1980,14-09-2018,1,1,0,0,0,0,708,0,0yrs 9mon,0,Maharashtra,0,37
0.0,0.0,1.0,0.0,0.0,78,61463,74388,84.69,5,CT28,ST11,834008,26-05-1995,26-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,1,23
0.0,0.0,1.0,0.0,0.0,79,59947,83180,74.54,152,CT15,ST20,751022,05-08-1997,29-10-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Odisha,1,21
1.0,0.0,0.0,1.0,0.0,80,64469,91967,71.55,135,CT17,ST07,391510,10-07-1991,06-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,27
1.0,1.0,0.0,0.0,0.0,81,54759,70842,79.75,20,CT19,ST12,570028,06-06-1984,31-10-2018,1,1,0,0,0,0,371,2,1yrs 11mon,3,Karnataka,0,34
1.0,0.0,0.0,1.0,0.0,82,43394,80752,55.73,10,CT01,ST15,400001,08-05-1986,24-10-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Maharashtra,0,32
0.0,1.0,0.0,0.0,0.0,83,42044,66600,67.57,3,CT19,ST12,570028,20-01-1995,24-09-2018,1,1,1,0,0,0,300,2,6yrs 10mon,1,Karnataka,1,23
0.0,0.0,1.0,0.0,0.0,84,51578,67863,78.1,250,CT13,ST04,801110,05-07-1979,26-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,Bihar,0,39
0.0,0.0,0.0,1.0,0.0,85,52500,63883,84.53,16,CT11,ST07,382460,01-01-1999,20-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,1,19
1.0,1.0,0.0,0.0,0.0,86,58413,70473,85.0,17,CT23,ST12,575001,01-01-1975,13-08-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Karnataka,0,43
1.0,1.0,0.0,0.0,0.0,87,43794,72037,62.47,104,CT07,ST13,682001,07-11-1988,16-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Kerala,0,29
1.0,0.0,0.0,0.0,1.0,88,31484,67593,48.82,65,CT20,ST28,208002,01-01-1994,11-09-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Uttar Pradesh,0,24
1.0,0.0,0.0,1.0,0.0,89,31371,77070,42.82,42,CT02,ST15,411002,14-07-1992,27-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Maharashtra,0,26
0.0,0.0,0.0,0.0,0.0,90,43794,72368,62.18,67,CT09,ST34,110039,01-01-1978,20-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Delhi,0,40
1.0,1.0,0.0,0.0,0.0,91,37839,62650,61.29,2,CT29,ST24,632001,13-01-1983,12-10-2018,1,1,0,0,0,0,16,0,1yrs 10mon,0,Tamil Nadu,0,35
1.0,1.0,0.0,0.0,0.0,92,58259,75054,78.61,100,CT19,ST12,570028,26-09-1972,26-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,1,Karnataka,0,46
0.0,0.0,1.0,0.0,0.0,93,53295,64890,86.72,77,CT27,ST11,832102,27-04-1988,20-08-2018,1,1,0,0,0,0,825,0,1yrs 1mon,0,Jharkhand,0,30
1.0,0.0,0.0,0.0,0.0,94,53578,75051,72.62,36,CT18,ST21,141003,01-01-1994,31-10-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Punjab,0,24
0.0,0.0,0.0,1.0,0.0,95,42210,132288,33.26,65,CT26,ST15,431001,10-02-1990,23-08-2018,1,0,1,1,0,0,0,0,0yrs 0mon,0,Maharashtra,0,28
0.0,1.0,0.0,0.0,0.0,96,53303,74460,73.87,16,CT04,ST24,642205,10-01-1965,29-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,0,53
1.0,1.0,0.0,0.0,0.0,97,66382,76974,88.99,79,CT10,ST12,560034,02-05-1981,18-08-2018,1,1,0,0,0,0,836,0,2yrs 1mon,0,Karnataka,1,37
1.0,0.0,0.0,0.0,1.0,98,46849,67830,71.5,202,CT16,ST23,737101,15-06-1987,20-08-2018,1,1,0,0,0,0,615,0,1yrs 9mon,0,Sikkim,0,31
0.0,0.0,0.0,0.0,1.0,99,63213,75316,84.98,146,CT22,ST14,453551,23-06-1992,19-09-2018,1,1,0,0,0,0,738,0,2yrs 11mon,0,Madhya Pradesh,0,26
0.0,0.0,0.0,1.0,0.0,100,34939,61558,58.48,258,CT11,ST07,382460,11-10-1990,14-08-2018,1,1,1,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,27
1.0,0.0,0.0,1.0,0.0,101,58013,77729,75.9,36,CT01,ST15,400001,01-10-1983,26-10-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Maharashtra,0,35
0.0,1.0,0.0,0.0,0.0,102,48349,66846,74.8,160,CT24,ST13,680503,15-04-1973,21-10-2018,1,1,1,0,0,0,598,1,1yrs 4mon,1,Kerala,0,45
0.0,1.0,0.0,0.0,0.0,103,54859,68500,82.63,135,CT10,ST12,560034,04-01-1984,18-08-2018,1,1,0,0,0,0,773,0,3yrs 11mon,0,Karnataka,0,34
1.0,0.0,1.0,0.0,0.0,104,48749,70520,70.9,67,CT15,ST20,751022,10-02-1993,24-08-2018,1,1,0,0,0,0,653,1,0yrs 8mon,0,Odisha,0,25
0.0,0.0,0.0,1.0,0.0,105,56633,74754,78.93,61,CT17,ST07,391510,01-01-1991,13-10-2018,1,1,0,0,0,0,17,0,0yrs 2mon,0,Gujarat,1,27
1.0,0.0,0.0,1.0,0.0,106,56313,101670,57.34,1,CT17,ST07,391510,10-07-1995,25-09-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Gujarat,0,23
0.0,1.0,0.0,0.0,0.0,107,87765,142872,65.09,103,CT24,ST13,680503,01-01-1984,22-10-2018,1,1,1,0,0,0,825,0,2yrs 0mon,0,Kerala,0,34
1.0,0.0,0.0,0.0,1.0,108,66482,97110,72.08,11,CT16,ST23,737101,18-05-1995,18-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Sikkim,0,23
1.0,0.0,0.0,0.0,0.0,109,53503,60659,89.85,72,CT09,ST34,110039,21-02-1983,31-08-2018,1,1,1,0,0,0,0,0,0yrs 0mon,0,Delhi,0,35
0.0,0.0,1.0,0.0,0.0,110,61313,80750,77.65,13,CT08,ST29,700027,01-06-1993,20-09-2018,1,1,0,0,0,0,557,0,4yrs 6mon,0,West Bengal,0,25
0.0,0.0,0.0,1.0,0.0,111,57359,69868,84.3,146,CT11,ST07,382460,10-07-1982,27-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,36
1.0,0.0,0.0,0.0,0.0,112,51903,60606,88.44,257,CT06,ST22,302029,01-01-1992,22-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Rajasthan,0,26
1.0,0.0,1.0,0.0,0.0,113,54013,75905,73.78,251,CT28,ST11,834008,05-04-1980,26-09-2018,1,0,1,0,0,0,693,0,6yrs 6mon,8,Jharkhand,1,38
1.0,0.0,0.0,1.0,0.0,114,49103,64000,78.28,2,CT26,ST15,431001,18-11-1959,28-08-2018,1,1,0,0,0,0,626,1,6yrs 5mon,0,Maharashtra,0,58
1.0,0.0,1.0,0.0,0.0,115,41894,61660,69.74,43,CT27,ST11,832102,24-06-1994,06-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Jharkhand,1,24
1.0,0.0,0.0,1.0,0.0,116,56759,97934,59.73,120,CT17,ST07,391510,01-07-1995,23-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,23
1.0,0.0,1.0,0.0,0.0,117,82686,117549,71.46,11,CT08,ST29,700027,02-04-1994,26-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,West Bengal,1,24
1.0,0.0,0.0,0.0,1.0,118,44394,68900,65.31,64,CT16,ST23,737101,01-01-1983,14-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Sikkim,0,35
0.0,1.0,0.0,0.0,0.0,119,75779,103355,74.21,136,CT24,ST13,680503,18-04-1998,19-09-2018,1,1,0,0,0,0,741,0,3yrs 11mon,0,Kerala,0,20
1.0,0.0,0.0,1.0,0.0,120,44394,58124,77.42,67,CT26,ST15,431001,02-10-1983,19-09-2018,1,1,0,1,0,0,0,0,0yrs 0mon,0,Maharashtra,0,34
1.0,1.0,0.0,0.0,0.0,121,58300,80972,73.53,2,CT04,ST24,642205,21-09-1990,30-10-2018,1,1,0,0,0,0,380,1,0yrs 9mon,0,Tamil Nadu,0,28
1.0,0.0,1.0,0.0,0.0,122,37939,67323,57.93,61,CT13,ST04,801110,06-10-1969,19-09-2018,1,1,0,0,0,0,825,0,0yrs 11mon,0,Bihar,0,48
1.0,0.0,0.0,0.0,1.0,123,41894,59275,72.54,14,CT20,ST28,208002,01-01-1990,31-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Uttar Pradesh,0,28
0.0,0.0,0.0,1.0,0.0,124,56413,66082,88.38,62,CT14,ST07,394651,01-01-1973,14-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,45
1.0,0.0,0.0,0.0,1.0,125,43894,62800,70.86,258,CT21,ST27,248141,20-05-1985,31-10-2018,1,1,0,0,0,0,681,0,0yrs 6mon,0,Uttarakhand,0,33
0.0,0.0,0.0,0.0,0.0,126,31484,63458,52.0,105,CT06,ST22,302029,01-12-1976,31-08-2018,1,1,0,0,0,0,763,0,2yrs 6mon,0,Rajasthan,0,41
0.0,0.0,0.0,1.0,0.0,127,67582,86453,79.81,135,CT14,ST07,394651,13-11-1992,29-08-2018,1,1,1,0,0,0,786,0,1yrs 8mon,1,Gujarat,0,25
1.0,0.0,1.0,0.0,0.0,128,31984,50427,64.45,1,CT15,ST20,751022,07-08-1980,26-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Odisha,0,38
0.0,0.0,0.0,1.0,0.0,129,52762,61708,89.75,61,CT26,ST15,431001,10-12-1994,30-09-2018,1,0,0,1,0,0,659,0,2yrs 10mon,0,Maharashtra,0,23
0.0,1.0,0.0,0.0,0.0,130,53078,64560,83.64,105,CT10,ST12,560034,01-01-1975,22-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Karnataka,0,43
1.0,0.0,0.0,1.0,0.0,131,17060,64044,28.11,10,CT11,ST07,382460,01-01-1984,14-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,34
1.0,1.0,0.0,0.0,0.0,132,42014,72894,60.36,120,CT29,ST24,632001,01-01-1984,21-09-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Tamil Nadu,1,34
0.0,0.0,0.0,1.0,0.0,133,56779,66509,88.71,5,CT17,ST07,391510,29-06-1996,16-08-2018,1,1,1,0,0,0,0,0,0yrs 0mon,0,Gujarat,0,22
1.0,1.0,0.0,0.0,0.0,134,56727,77714,74.91,254,CT03,ST24,600020,01-10-1989,29-08-2018,1,0,0,1,0,0,0,0,0yrs 0mon,0,Tamil Nadu,1,28
1.0,0.0,0.0,0.0,0.0,135,48349,92956,53.79,11,CT09,ST34,110039,17-04-1996,11-10-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Delhi,0,22
0.0,0.0,0.0,0.0,1.0,136,52803,64012,84.36,5,CT22,ST14,453551,26-06-1996,21-08-2018,1,1,0,0,0,0,0,0,0yrs 0mon,0,Madhya Pradesh,1,22
